"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_01005_0402Metric";1;"25n";;;
2;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"AMB3-8MH";;;
3;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
4;"U1";"SOT-23-3";1;"XC6206P332MR";;;
5;"R4";"R_0402_1005Metric";1;"1k5";;;
6;"R3,R1";"R_0603_1608Metric";2;"1k5";;;
7;"R2";"R_0402_1005Metric";1;"10k";;;
8;"J3,J2";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
9;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
10;"FB1";"L_0805_2012Metric";1;"100R";;;
11;"D2";"LED_0201_0603Metric";1;"powerLED";;;
12;"D1";"LED_0201_0603Metric";1;"LED";;;
13;"C11,C10";"C_0402_1005Metric";2;"26p";;;
14;"C9,C8";"C_0402_1005Metric";2;"1u";;;
15;"C7,C6,C5,C4";"C_0402_1005Metric";4;"100n";;;
16;"C3";"C_0603_1608Metric";1;"10u";;;
17;"C2,C1";"C_0603_1608Metric";2;"1u";;;
